date,closing price(yuan)
2024-09-06,7559.486
2024-09-07,7559.486
2024-09-08,7559.486
2024-09-09,7643.592
2024-09-10,7635.621
2024-09-11,7629.263
2024-09-12,7608.642
2024-09-13,7504.746
2024-09-14,7504.746
2024-09-15,7504.746
2024-09-16,7504.746
2024-09-17,7504.746
2024-09-18,7366.953
2024-09-19,7478.293
2024-09-20,7380.228
2024-09-21,7380.228
2024-09-22,7380.228
2024-09-23,7328.759
2024-09-24,7586.115
2024-09-25,7684.799
2024-09-26,7971.828
2024-09-27,8421.363
2024-09-28,8421.363
2024-09-29,8421.363
2024-09-30,9531.551
2024-10-01,9531.551
2024-10-02,9531.551
2024-10-03,9531.551
2024-10-04,9531.551
2024-10-05,9531.551
2024-10-06,9531.551
2024-10-07,9531.551
2024-10-08,10520.716
2024-10-09,9362.6
2024-10-10,9363.21
2024-10-11,8909.939
2024-10-12,8909.939
2024-10-13,8909.939
2024-10-14,9085.817
2024-10-15,8893.583
2024-10-16,8879.052
2024-10-17,8849.526
2024-10-18,9192.2
2024-10-19,9192.2
2024-10-20,9192.2
2024-10-21,9339.792
2024-10-22,9435.287
2024-10-23,9419.497
2024-10-24,9470.849
2024-10-25,9695.521
2024-10-26,9695.521
2024-10-27,9695.521
2024-10-28,9901.459
2024-10-29,9670.948
2024-10-30,9521.332
2024-10-31,9617.12
2024-11-01,9407.015
2024-11-02,9407.015
2024-11-03,9407.015
2024-11-04,9605.086
2024-11-05,9843.407
2024-11-06,9863.225
2024-11-07,10162.002
2024-11-08,10243.057
2024-11-09,10243.057
2024-11-10,10243.057
2024-11-11,10471.978
2024-11-12,10527.019
2024-11-13,10451.751
2024-11-14,10060.993
2024-11-15,9877.885
2024-11-16,9877.885
2024-11-17,9877.885
2024-11-18,9777.763
2024-11-19,9997.286
2024-11-20,10275.697
2024-11-21,10317.612
2024-11-22,9828.505
2024-11-23,9828.505
2024-11-24,9828.505
2024-11-25,10040.827
2024-11-26,9992.027
2024-11-27,10096.828
2024-11-28,10080.779
2024-11-29,10184.205
2024-11-30,10184.205
2024-12-01,10184.205
2024-12-02,10377.433
2024-12-03,10345.26
2024-12-04,10160.971
2024-12-05,10257.493
2024-12-06,10376.003
2024-12-07,10376.003
2024-12-08,10376.003
2024-12-09,10330.708
2024-12-10,10376.374
2024-12-11,10446.332
2024-12-12,10530.982
2024-12-13,10282.784
2024-12-14,10282.784
2024-12-15,10282.784
2024-12-16,10282.918
2024-12-17,9929.807
2024-12-18,9998.567
2024-12-19,9929.711
2024-12-20,10031.434
2024-12-21,10031.434
2024-12-22,10031.434
2024-12-23,9664.472
2024-12-24,9713.185
2024-12-25,9587.541
2024-12-26,9616.774
2024-12-27,9688.306
2024-12-28,9688.306
2024-12-29,9688.306
2024-12-30,9555.62
2024-12-31,9365.586
2025-01-01,9365.586
2025-01-02,9164.066
2025-01-03,8985.205
2025-01-04,8985.205
2025-01-05,8985.205
2025-01-06,9095.492
2025-01-07,9122.891
2025-01-08,9098.054
2025-01-09,9081.142
2025-01-10,8839.201
2025-01-11,8839.201
2025-01-12,8839.201
2025-01-13,8918.149
2025-01-14,9250.033
2025-01-15,9155.332
2025-01-16,9167.85
2025-01-17,9211.421
2025-01-18,9211.421
2025-01-19,9211.421
2025-01-20,9293.383
2025-01-21,9260.492
2025-01-22,9141.732
2025-01-23,9134.889
2025-01-24,9167.244
2025-01-25,9167.244
2025-01-26,9167.244
2025-01-27,9166.115
2025-01-28,9166.115
2025-01-29,9166.115
2025-01-30,9166.115
2025-01-31,9166.115
2025-02-01,9166.115
2025-02-02,9166.115
2025-02-03,9166.115
2025-02-04,9166.115
2025-02-05,9245.009
2025-02-06,9368.868
2025-02-07,9502.224
2025-02-08,9502.224
2025-02-09,9502.224
2025-02-10,9794.828
2025-02-11,9741.308
2025-02-12,9744.105
2025-02-13,9606.399
2025-02-14,9966.339
2025-02-15,9966.339
2025-02-16,9966.339
2025-02-17,10198.789
2025-02-18,9842.946
2025-02-19,9996.471
2025-02-20,10149.509
2025-02-21,10149.19
2025-02-22,10149.19
2025-02-23,10149.19
2025-02-24,10053.103
2025-02-25,9945.638
2025-02-26,10027.533
2025-02-27,10061.405
2025-02-28,9833.818
2025-03-01,9833.818
2025-03-02,9833.818
2025-03-03,9972.339
2025-03-04,10169.92
2025-03-05,10064.035
2025-03-06,10261.082
